id,area,category,standard,whatItMeans,phase,responsibleRole,appliesToValueStreams,gdprArticles,sdlcGates
gdpr-012,Cybersecurity & ISO,Data Privacy (GDPR),Automated Decision-Making & Profiling,"For decisions based solely on automated processing with legal or similarly significant effects (e.g., automated underwriting, pricing, claims triage), establish a lawful ground, provide meaningful information about the logic, and offer human review and the ability to contest. Crosswalk to the EU AI Act high-risk obligations.",Build/Run,DPO / Chief Actuary / Enterprise Architect,"Technology Strategy, Architecture & Delivery; Technology Delivery & Change",Art. 22; Recital 71,Requirements; Design; Development; Testing
gdpr-013,Cybersecurity & ISO,Data Privacy (GDPR),Data Protection by Design & by Default,"Privacy controls (pseudonymisation, minimisation, access limits) are embedded into architecture from inception and the system defaults to the most privacy-protective settings.",Build,Enterprise Architect / ISO Architect,"Technology Strategy, Architecture & Delivery",Art. 25; Recital 78,Requirements; Design; Development
gdpr-014,Cybersecurity & ISO,Data Privacy (GDPR),Data Protection Impact Assessment (DPIA),A DPIA is completed and signed off before build for high-risk processing; prior consultation with the supervisory authority (Art. 36) occurs where residual risk remains high.,Build,DPO / ISO Architect,"Technology Strategy, Architecture & Delivery; Technology Delivery & Change",Art. 35; Art. 36,Requirements; Design
gdpr-015,Cybersecurity & ISO,Data Privacy (GDPR),Records of Processing Activities (RoPA),"A living inventory of processing activities, purposes, data categories, recipients, transfers, and retention is maintained and updated as systems change.",Run,DPO,"Cybersecurity, Identity & Resilience",Art. 30,Design; Run
gdpr-016,Cybersecurity & ISO,Data Privacy (GDPR),Security of Processing,"Risk-appropriate technical and organisational measures (encryption, pseudonymisation, confidentiality, integrity, availability, resilience, restore capability) are applied and their effectiveness is tested regularly. Links to the Encryption and Application Security standards.",Build/Run,ISO Architect,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",Art. 32; Recital 83,Design; Development; Testing; Run
gdpr-017,Cybersecurity & ISO,Data Privacy (GDPR),Personal Data Breach Notification,"Breaches are detected, assessed, and notified to the supervisory authority within 72 hours where required, and to affected subjects without undue delay where high risk; a breach register is maintained.",Run,CISO / DPO,"Cybersecurity, Identity & Resilience",Art. 33; Art. 34,Design; Testing; Run
gdpr-018,Cybersecurity & ISO,Data Privacy (GDPR),Processor & DPA Management,"Processors and sub-processors are bound by Art. 28 data processing agreements with a documented authorisation chain, audit rights, and instruction-only processing.",Run,Vendor Security / Legal / DPO,"Cybersecurity, Identity & Resilience",Art. 28; Art. 29,Design; Run
gdpr-019,Cybersecurity & ISO,Data Privacy (GDPR),International Data Transfers,"Personal data leaves the EEA only under a valid mechanism (adequacy, SCCs, or BCRs) with a transfer impact assessment and supplementary measures where needed (post-Schrems II).",Build/Run,DPO / Enterprise Architect,"Technology Strategy, Architecture & Delivery; Cybersecurity, Identity & Resilience",Art. 44; Art. 45; Art. 46; Art. 47; Art. 49,Design; Run
gdpr-020,Cybersecurity & ISO,Data Privacy (GDPR),Data Protection Officer,"A DPO is designated, resourced, and independent, and is involved in all personal-data matters; the DPO is the contact point for the authority and data subjects.",Run,Executive / General Counsel,"Cybersecurity, Identity & Resilience",Art. 37; Art. 38; Art. 39,Run
gdpr-021,Cybersecurity & ISO,Data Privacy (GDPR),Accountability & Audit Evidence,"Compliance with every privacy control is demonstrable through documented policies, decision records, and audit-ready evidence captured automatically where possible. This is the accountability principle that makes evidence mandatory.",Run,DPO / ISO Architect,"Cybersecurity, Identity & Resilience; Technology Strategy, Architecture & Delivery",Art. 5(2); Art. 24,Requirements; Design; Development; Testing; Run
