id,area,category,standard,whatItMeans,phase,responsibleRole,appliesToValueStreams,nydfsSections,classAOnly,sdlcGates
nydfs-011,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Multi-Factor Authentication,"Require MFA for any individual accessing any information system (limited-exemption entities at minimum for remote access, remote third-party apps exposing NPI, and privileged accounts). CISO may approve equivalent or stronger compensating controls, reviewed at least annually.",Build/Run,ISO Architect,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",500.12,false,Design; Development; Testing
nydfs-012,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Asset Inventory,"Maintain written policies that produce and keep a complete, accurate, documented asset inventory of information systems, tracking owner, location, classification/sensitivity, support-expiration date, and recovery-time objectives, plus the update/validation frequency.",Build/Run,ISO Architect,"Cybersecurity, Identity & Resilience; Technology Strategy, Architecture & Delivery",500.13(a),false,Design; Run
nydfs-013,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Data Retention & Secure Disposal,"Maintain policies for the secure periodic disposal of NPI (personal-identifier and health categories) that is no longer needed for business operations, unless retention is legally required or targeted disposal is not reasonably feasible.",Build/Run,ISO Architect / Data Owner,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",500.13(b),false,Design; Development; Testing
nydfs-014,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Monitoring & Malicious-Code Protection,"Implement risk-based controls to monitor authorized-user activity and detect unauthorized access/use/tampering, and to protect against malicious code including web-traffic and email filtering. Class A: endpoint detection & response plus a centralized logging / security-event-alerting (SIEM) solution.",Build/Run,ISO Architect,"Cybersecurity, Identity & Resilience",500.14(a); 500.14(b),false,Design; Development; Run
nydfs-015,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Security Awareness Training,"Provide periodic, at least annual, cybersecurity awareness training that includes social engineering for all personnel, updated to reflect risks identified in the risk assessment.",Run,CISO / CHRO,"Cybersecurity, Identity & Resilience",500.14(a)(3),false,Run
nydfs-016,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Encryption of Nonpublic Information,"Maintain a written encryption policy meeting industry standards to protect NPI in transit over external networks and at rest; where at-rest encryption is infeasible, use CISO-approved compensating controls reviewed at least annually.",Build/Run,ISO Architect,"Cybersecurity, Identity & Resilience; Technology Delivery & Change",500.15,false,Design; Development; Testing; Run
nydfs-017,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Incident Response Plan,"Maintain a written incident response plan addressing goals, internal processes, roles and decision authority, communications, remediation, documentation, recovery from backups, and a root-cause analysis; covering disruptive events such as ransomware; tested at least annually.",Build/Run,CISO,"Cybersecurity, Identity & Resilience",500.16(a)(1),false,Design; Testing; Run
nydfs-018,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Business Continuity & Disaster Recovery,"Maintain written BCDR plans that ensure availability of information systems and material services; identify essential assets and personnel; maintain protected, offsite backups; distribute and train on the plans; test the plans and backup-restore at least annually.",Run,CISO / COO,"Cybersecurity, Identity & Resilience",500.16(a)(2); 500.16(d); 500.16(e),false,Design; Testing; Run
nydfs-019,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),72-Hour Incident Notification,"Notify the superintendent electronically no later than 72 hours after determining a cybersecurity incident has occurred at the entity, an affiliate, or a third-party service provider, with a continuing duty to update.",Run,CISO,"Cybersecurity, Identity & Resilience",500.17(a),false,Design; Testing; Run
nydfs-020,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Extortion / Ransomware Payment Notice,"On an extortion payment, notify the superintendent within 24 hours and within 30 days provide a written description of why payment was necessary, alternatives considered, and OFAC compliance diligence.",Run,CISO / General Counsel,"Cybersecurity, Identity & Resilience",500.17(c),false,Run
nydfs-021,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Annual Certification of Material Compliance,"By April 15, submit either a Certification of Material Compliance (backed by sufficient data and documentation) or a written Acknowledgment of noncompliance identifying gaps and a remediation timeline; signed by the highest-ranking executive and the CISO; supporting records retained 5 years.",Run,Highest-Ranking Executive + CISO,"Cybersecurity, Identity & Resilience; Technology Strategy, Architecture & Delivery",500.17(b),false,Run
nydfs-022,Cybersecurity & ISO,NYDFS 23 NYCRR 500 (Cybersecurity),Nonpublic Information Classification,"Identify and classify Nonpublic Information (material business information; personal identifiers combined with SSN/licence/financial/security codes/biometrics; and health information) so that access, encryption, retention, monitoring, and audit-trail controls can be correctly scoped.",Build,ISO Architect / Data Owner,"Technology Delivery & Change; Technology Strategy, Architecture & Delivery",500.1(k); 500.3(b),false,Requirements; Design
